/Applications/Rider.app/Contents/lib/ReSharperHost/macos-x64/dotnet/dotnet exec /Applications/Rider.app/Contents/lib/ReSharperHost/JetBrains.Debugger.Worker.exe --mode=client --frontend-port=62193 --plugins=/Applications/Rider.app/Contents/plugins/rider-unity/dotnetDebuggerWorker
log4net: Configuration update mode [Merge].
log4net: Logger [root] Level string is [DEBUG].
log4net: Logger [root] level set to [name="DEBUG",value=30000].
log4net: Loading Appender [ConsoleAppender] type: [log4net.Appender.ConsoleAppender]
log4net: Setting Property [Threshold] to Level value [DEBUG]
log4net: Converter [message] Option [] Format [min=-1,max=2147483647,leftAlign=False]
log4net: Converter [newline] Option [] Format [min=-1,max=2147483647,leftAlign=False]
log4net: Setting Property [ConversionPattern] to String value [%d [%t] %-5p %c - %m%n]
log4net: Converter [d] Option [] Format [min=-1,max=2147483647,leftAlign=False]
log4net: Converter [literal] Option [ [] Format [min=-1,max=2147483647,leftAlign=False]
log4net: Converter [t] Option [] Format [min=-1,max=2147483647,leftAlign=False]
log4net: Converter [literal] Option [] ] Format [min=-1,max=2147483647,leftAlign=False]
log4net: Converter [p] Option [] Format [min=5,max=2147483647,leftAlign=True]
log4net: Converter [literal] Option [ ] Format [min=-1,max=2147483647,leftAlign=False]
log4net: Converter [c] Option [] Format [min=-1,max=2147483647,leftAlign=False]
log4net: Converter [literal] Option [ - ] Format [min=-1,max=2147483647,leftAlign=False]
log4net: Converter [m] Option [] Format [min=-1,max=2147483647,leftAlign=False]
log4net: Converter [n] Option [] Format [min=-1,max=2147483647,leftAlign=False]
log4net: Setting Property [Layout] to object [log4net.Layout.PatternLayout]
log4net: Created Appender [ConsoleAppender]
log4net: Adding appender named [ConsoleAppender] to logger [root].
log4net: Hierarchy Threshold []
2022-02-08 15:30:49,379 [6] INFO  producer.Program - rdkafka#producer-1-[thrd::0/internal]: :0/internal: Enter main broker thread
2022-02-08 15:30:49,379 [1] INFO  producer.Program - rdkafka#producer-1-[thrd:app]: localhost:19092/bootstrap: Added new broker with NodeId -1
2022-02-08 15:30:49,443 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/bootstrap: Enter main broker thread
2022-02-08 15:30:49,444 [1] INFO  producer.Program - rdkafka#producer-1-[thrd:app]: localhost:19093/bootstrap: Added new broker with NodeId -1
2022-02-08 15:30:49,445 [8] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19093/bootstrap]: localhost:19093/bootstrap: Enter main broker thread
2022-02-08 15:30:49,445 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: TxnCoordinator: Added new broker with NodeId -1
2022-02-08 15:30:49,445 [10] INFO  producer.Program - rdkafka#producer-1-[thrd:TxnCoordinator]: TxnCoordinator: Enter main broker thread
2022-02-08 15:30:49,445 [10] INFO  producer.Program - rdkafka#producer-1-[thrd:TxnCoordinator]: TxnCoordinator: Broker changed state INIT -> TRY_CONNECT
2022-02-08 15:30:49,445 [10] INFO  producer.Program - rdkafka#producer-1-[thrd:TxnCoordinator]: TxnCoordinator: broker in state TRY_CONNECT connecting
2022-02-08 15:30:49,445 [10] INFO  producer.Program - rdkafka#producer-1-[thrd:TxnCoordinator]: TxnCoordinator: broker has no address yet: postponing connect
2022-02-08 15:30:49,445 [10] INFO  producer.Program - rdkafka#producer-1-[thrd:TxnCoordinator]: TxnCoordinator: broker in state TRY_CONNECT connecting
2022-02-08 15:30:49,445 [10] INFO  producer.Program - rdkafka#producer-1-[thrd:TxnCoordinator]: TxnCoordinator: broker has no address yet: postponing connect
2022-02-08 15:30:49,445 [1] INFO  producer.Program - rdkafka#producer-1-[thrd:app]: localhost:19094/bootstrap: Added new broker with NodeId -1
